epoch,train_loss,val_loss,learning_rate,train_time,val_time,Head,Upper Snout,Lower Snout,Anterior Body,Posterior Body,Left Caudal Fin,Right Caudal Fin,Left Pectoral Fin,Right Pectoral Fin,"Dorsal Fin
"
0,,0.00501705938950181,9.999999747378752e-05,,,,,,,,,,,,
0,0.0009602184290997684,0.0013054539449512959,9.999999747378752e-05,,,0.0020028825383633375,0.0015072580426931381,0.0010034735314548016,0.0015018462436273694,2.3923390472191386e-05,1.7110494809458032e-05,1.3652675988851115e-05,0.0010063792578876019,0.0015017036348581314,0.0010239542461931705
1,0.0010936112375929952,0.001293842913582921,9.999999747378752e-05,298.3922424316406,46.451045989990234,0.0019537005573511124,0.0015004889573901892,0.0010022128699347377,0.0019443606724962592,0.0005087432800792158,5.688756573363207e-06,0.0005109647754579782,0.0005037388182245195,0.0015019291313365102,0.0015042840968817472
2,0.0011556580429896712,0.0012872517108917236,9.999999747378752e-05,300.7887878417969,46.743595123291016,0.002011203207075596,0.0019898759201169014,0.0019923842046409845,0.0015347356675192714,0.0005082853604108095,8.16946067061508e-06,9.151604899670929e-06,0.0010042180074378848,0.0010016299784183502,0.0014969260664656758
3,0.0018322854302823544,0.00128517288248986,9.999999747378752e-05,299.425048828125,46.85163116455078,0.0018768921727314591,0.0019795617554336786,0.001983397640287876,0.0019369423389434814,0.0019966410472989082,0.0015914961695671082,0.0014980449341237545,0.0014935752842575312,0.0019809941295534372,0.001985308015719056
4,0.0013016358716413379,0.0012734648771584034,9.999999747378752e-05,299.15447998046875,46.366310119628906,0.0018897595582529902,0.0014613408129662275,0.001000905060209334,0.0019037628080695868,0.0009593717404641211,0.0008124583982862532,0.0009821696439757943,0.0014885265845805407,0.0014892026083543897,0.001028861734084785
5,0.0014101654523983598,0.001252907095476985,9.999999747378752e-05,302.36859130859375,46.789283752441406,0.001850543194450438,0.0018399597611278296,0.0014317207969725132,0.0018733005272224545,0.0013456520391628146,0.0009433032246306539,0.0009501417516730726,0.0014545659068971872,0.0009896379197016358,0.0014228292275220156
6,0.0012672316515818238,0.0012231521541252732,9.999999747378752e-05,300.8129577636719,46.58537292480469,0.0018709610449150205,0.0013058541808277369,0.0009448353666812181,0.0018223226070404053,0.0008756730239838362,0.0006720376550219953,0.0009393684449605644,0.0009452778031118214,0.0019249541219323874,0.0013710312778130174
7,0.0010153800249099731,0.0011781351640820503,9.999999747378752e-05,309.3369140625,50.06696701049805,0.0018428037874400616,0.001560304081067443,0.0016293275402858853,0.00099084060639143,0.00036579088191501796,2.4168599338736385e-05,0.0004097030614502728,0.0004903823719359934,0.0018911598017439246,0.0009493195684626698
8,0.0011887329164892435,0.0011458609951660037,9.999999747378752e-05,300.4405517578125,47.21352767944336,0.001815917668864131,0.0016479955520480871,0.00017975717491935939,0.0018874409142881632,0.0014111717464402318,0.0013866644585505128,0.0014173672534525394,0.001001950935460627,0.0005570513312704861,0.0005820122896693647
