epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/Head,train/confmaps/Upper Snout,train/confmaps/Lower Snout,train/confmaps/Anterior Body,train/confmaps/Posterior Body,train/confmaps/Left Caudal Fin,train/confmaps/Right Caudal Fin,train/confmaps/Left Pectoral Fin,train/confmaps/Right Pectoral Fin,"train/confmaps/Dorsal Fin
"
0,,0.0010156265925616026,,,,,,,,,,,,,
0,,0.0007141322712413967,,,,,,,,,,,,,
1,0.000779677415266633,0.0007125020492821932,9.999999747378752e-05,51.698265075683594,8.031335830688477,0.001214763498865068,0.0007200579275377095,0.00047289038775488734,0.0013013193383812904,0.0006399622070603073,0.0005496452795341611,0.0005340023199096322,0.0007459484622813761,0.000826062576379627,0.0007921222713775933
2,0.0007697433466091752,0.0007213411736302078,9.999999747378752e-05,51.26203155517578,7.947620868682861,0.001228723325766623,0.0006782776326872408,0.00042631319956853986,0.001279637566767633,0.0006267557037062943,0.0005638719885610044,0.0005270278197713196,0.0007659390103071928,0.0008171983645297587,0.0007836890290491283
3,0.0007800705498084426,0.0007209618925116956,9.999999747378752e-05,51.436065673828125,7.960224151611328,0.0012722249375656247,0.0007102662930265069,0.0004415342991705984,0.001309625105932355,0.0006163952639326453,0.0005451233591884375,0.000522003450896591,0.0007504312670789659,0.000840451568365097,0.000792649807408452
4,0.0007566318963654339,0.0007111944141797721,9.999999747378752e-05,51.60501480102539,8.03162956237793,0.0012034602696076035,0.0006754919304512441,0.00043103762436658144,0.0012764226412400603,0.0006173790898174047,0.0005648824153468013,0.0005464563146233559,0.0007216868689283729,0.0007586340652778745,0.0007708679186180234
5,0.0007733089150860906,0.0007213753997348249,9.999999747378752e-05,51.405513763427734,7.944801330566406,0.0012503995094448328,0.0006928574875928462,0.0004588938027154654,0.0012849312042817473,0.0006461894372478127,0.0005444486159831285,0.000532051722984761,0.0007314133690670133,0.0008282160270027816,0.0007636887603439391
6,0.0007924598176032305,0.0007250051712617278,9.999999747378752e-05,51.74048614501953,7.972461700439453,0.0012659062631428242,0.0007192377233877778,0.000471520412247628,0.001327129197306931,0.0006161643541418016,0.0005419225781224668,0.0005215933779254556,0.0007831569528207183,0.0008566456381231546,0.0008213213877752423
7,0.0007571990718133748,0.0007210594485513866,9.999999747378752e-05,51.33614730834961,7.962328910827637,0.0012203201185911894,0.0006896403501741588,0.00045965585741214454,0.0012925774790346622,0.0006147428066469729,0.0005140619468875229,0.0005337296170182526,0.000726941623724997,0.0007857236778363585,0.0007345965714193881
8,0.0007705260650254786,0.0007261159480549395,9.999999747378752e-05,49.339088439941406,7.975393295288086,0.0012268091086298227,0.0006808845209889114,0.00042394190677441657,0.0012843963922932744,0.0006360691622830927,0.0005790129653178155,0.0005198484868742526,0.0007497451733797789,0.000796473235823214,0.0008080790867097676
9,0.000780187314376235,0.0007238190737552941,9.999999747378752e-05,51.209651947021484,7.971839904785156,0.0012314461637288332,0.0006878698477521539,0.00043523937347345054,0.0012848104815930128,0.000619386148173362,0.0005596656119450927,0.0005612212116830051,0.0007679362315684557,0.000858352635987103,0.0007959453505463898
