epoch,train/loss,val/loss,learning_rate,train/time,val/time
0,,0.00010203605052083731,,,
0,,0.00016897893510758877,,,
1,0.00020071535254828632,0.00016595833585597575,9.999999747378752e-05,161.60272216796875,13.712118148803711
2,0.00018892833031713963,0.00016686116578057408,9.999999747378752e-05,162.21995544433594,13.375971794128418
3,0.00018255137547384948,0.00016553896421100944,9.999999747378752e-05,160.64479064941406,13.144974708557129
4,0.00017961813136935234,0.00016976281767711043,9.999999747378752e-05,159.48294067382812,13.148884773254395
5,0.0001779165759216994,0.00016330703510902822,9.999999747378752e-05,160.01138305664062,13.194454193115234
6,0.00018055892724078149,0.00016573087486904114,9.999999747378752e-05,160.34140014648438,13.153974533081055
7,0.0001773103285813704,0.00017498571833129972,9.999999747378752e-05,159.83889770507812,13.132166862487793
8,0.0001737181592034176,0.00016648485325276852,9.999999747378752e-05,159.55189514160156,13.138466835021973
9,0.00017749969265423715,0.00015499872097279876,9.999999747378752e-05,160.1316375732422,13.121404647827148
10,0.00016993473400361836,0.00016457843594253063,9.999999747378752e-05,159.4497833251953,13.126708984375
11,0.00017442170064896345,0.00016248138854280114,9.999999747378752e-05,160.19680786132812,13.125337600708008
12,0.0001687877083895728,0.00016832325491122901,9.999999747378752e-05,160.88006591796875,13.319587707519531
13,0.00016846007201820612,0.00017061799007933587,9.999999747378752e-05,161.58912658691406,13.225580215454102
14,0.00016794278053566813,0.000164389843121171,9.999999747378752e-05,161.06649780273438,13.073198318481445
15,0.000167066216818057,0.0001563296391395852,9.999999747378752e-05,160.44161987304688,13.076034545898438
16,0.00016791890084277838,0.0001529114815639332,9.999999747378752e-05,160.56045532226562,13.204983711242676
17,0.0001593390916241333,0.0001539842487545684,4.999999873689376e-05,161.13265991210938,13.086847305297852
18,0.00015873220399953425,0.00015363750571850687,4.999999873689376e-05,160.3616180419922,13.102615356445312
19,0.0001581826072651893,0.00015715110930614173,4.999999873689376e-05,159.9932861328125,13.10513687133789
20,0.0001573039626237005,0.0001627974270377308,4.999999873689376e-05,160.64883422851562,13.08005428314209
21,0.00015890556096564978,0.00015505225746892393,4.999999873689376e-05,160.3743896484375,13.08375358581543
22,0.00015974207781255245,0.00015879333659540862,4.999999873689376e-05,160.84471130371094,13.145151138305664
23,0.00015843204164411873,0.00015097980212885886,4.999999873689376e-05,160.63082885742188,13.107619285583496
24,0.0001581761462148279,0.00015212554717436433,4.999999873689376e-05,160.07037353515625,13.068960189819336
25,0.00015530281234532595,0.00015491386875510216,4.999999873689376e-05,160.92587280273438,13.149206161499023
26,0.00015458467532880604,0.00015589731629006565,4.999999873689376e-05,160.08026123046875,13.06027603149414
27,0.00016110595606733114,0.0001618236565263942,4.999999873689376e-05,160.27383422851562,13.140754699707031
28,0.0001512874150648713,0.00016182211402337998,4.999999873689376e-05,160.7880859375,13.14852523803711
29,0.0001507186534581706,0.0001599712995812297,4.999999873689376e-05,160.23086547851562,13.075336456298828
30,0.00015769041783642024,0.00015111677930690348,4.999999873689376e-05,160.6849822998047,13.121932029724121
31,0.00014870520681142807,0.00014795329479966313,2.499999936844688e-05,160.09396362304688,13.148387908935547
32,0.00014999645645730197,0.00014817313058301806,2.499999936844688e-05,160.31263732910156,13.1016206741333
33,0.00014729038230143487,0.00014734319120179862,2.499999936844688e-05,160.5848846435547,13.109354019165039
34,0.00014635411207564175,0.00014847973943687975,2.499999936844688e-05,160.66165161132812,13.269567489624023
35,0.00014642992755398154,0.00014889074373058975,2.499999936844688e-05,161.20013427734375,13.120702743530273
36,0.00014910497702658176,0.00014736376760993153,2.499999936844688e-05,159.7222900390625,13.143203735351562
37,0.0001454006414860487,0.00014427841233555228,2.499999936844688e-05,159.98529052734375,13.207505226135254
38,0.00014825649850536138,0.00014794003800489008,2.499999936844688e-05,159.94985961914062,13.110699653625488
39,0.0001461877254769206,0.00014718453167006373,2.499999936844688e-05,159.81253051757812,13.155344009399414
40,0.00014902502880431712,0.00014588709746021777,2.499999936844688e-05,159.4357147216797,13.17995834350586
41,0.00014901910617481917,0.00014646021008957177,2.499999936844688e-05,159.84165954589844,13.130826950073242
42,0.0001492295996285975,0.000147373037179932,2.499999936844688e-05,159.48275756835938,13.162118911743164
43,0.0001413340651197359,0.0001482556835981086,2.499999936844688e-05,159.28538513183594,13.233497619628906
44,0.00014912424376234412,0.0001443087385268882,2.499999936844688e-05,159.8022003173828,13.119247436523438
45,0.00014635045954491943,0.0001451296266168356,1.249999968422344e-05,159.24563598632812,13.12122917175293
46,0.000142864475492388,0.00014367718540597707,1.249999968422344e-05,159.69654846191406,13.17534065246582
47,0.000144605350214988,0.0001455704477848485,1.249999968422344e-05,160.17703247070312,13.148959159851074
48,0.00014588491467293352,0.00014248717343434691,1.249999968422344e-05,159.38587951660156,13.193462371826172
49,0.00014264375204220414,0.00014486885629594326,1.249999968422344e-05,159.80552673339844,13.301190376281738
50,0.0001425341033609584,0.00014627301425207406,1.249999968422344e-05,159.92605590820312,13.114489555358887
51,0.00014999290578998625,0.0001441564818378538,1.249999968422344e-05,159.42604064941406,13.126215934753418
52,0.00014114037912804633,0.00014241230383049697,1.249999968422344e-05,159.88681030273438,13.236135482788086
53,0.00014348130207508802,0.00014478694356512278,1.249999968422344e-05,159.32994079589844,13.144885063171387
54,0.0001441984495613724,0.00014547073806170374,1.249999968422344e-05,159.41111755371094,13.1550874710083
55,0.00014232861576601863,0.00014242301404010504,1.249999968422344e-05,160.01324462890625,13.165508270263672
56,0.00013970310101285577,0.00014238890435080975,6.24999984211172e-06,159.6181182861328,13.14301586151123
57,0.0001445615926058963,0.00014324042422231287,6.24999984211172e-06,159.85581970214844,13.156612396240234
58,0.00014444472617469728,0.0001434985751984641,6.24999984211172e-06,160.58563232421875,13.269477844238281
59,0.00014451108290813863,0.00014363093941938132,6.24999984211172e-06,159.92672729492188,13.177411079406738
60,0.00013964289973955601,0.00014546482998412102,6.24999984211172e-06,161.21401977539062,13.153026580810547
61,0.00014010608720127493,0.00014210079098120332,6.24999984211172e-06,160.42034912109375,13.191900253295898
62,0.00013733719242736697,0.00014207100321073085,6.24999984211172e-06,160.23956298828125,13.095552444458008
63,0.00014249910600483418,0.0001428092218702659,6.24999984211172e-06,161.2015838623047,13.1336088180542
64,0.00014021137030795217,0.00014115078374743462,6.24999984211172e-06,160.4985809326172,13.164287567138672
65,0.00014226784696802497,0.00014226084749680012,3.12499992105586e-06,160.19068908691406,13.080491065979004
66,0.00014542580174747854,0.00014146363537292928,3.12499992105586e-06,160.88809204101562,13.129651069641113
67,0.00014254463894758373,0.00014434837794397026,3.12499992105586e-06,160.55088806152344,13.162590980529785
68,0.0001395631261402741,0.0001420707267243415,3.12499992105586e-06,160.65330505371094,13.096712112426758
69,0.00014118102262727916,0.00014145018940325826,3.12499992105586e-06,161.11634826660156,13.164581298828125
70,0.00014563398144673556,0.00014252359687816352,3.12499992105586e-06,160.49293518066406,13.122637748718262
71,0.00013843773922417313,0.000142624179716222,3.12499992105586e-06,161.15789794921875,13.12795639038086
72,0.00013738231791649014,0.00014261491014622152,3.12499992105586e-06,160.2552947998047,13.204397201538086
73,0.00014385016402229667,0.00014239556912798434,3.12499992105586e-06,160.44232177734375,13.107536315917969
74,0.0001383125054417178,0.00014166203618515283,1.56249996052793e-06,160.68069458007812,13.066756248474121
75,0.00014274277782533318,0.00014224991900846362,1.56249996052793e-06,160.43112182617188,13.218645095825195
76,0.00013953882444184273,0.00014205773186404258,1.56249996052793e-06,160.2930145263672,13.117914199829102
77,0.00013800643500871956,0.00014235160779207945,1.56249996052793e-06,160.56320190429688,13.111845016479492
78,0.00014365346578415483,0.00014217503485269845,1.56249996052793e-06,160.3170623779297,13.11546516418457
79,0.00014157524856273085,0.00014144608576316386,1.56249996052793e-06,160.0746307373047,13.132070541381836
