epoch,train_loss,val_loss,learning_rate,train_time,val_time,Head,Upper Snout,Lower Snout,Anterior Body,Posterior Body,Left Caudal Fin,Right Caudal Fin,Left Pectoral Fin,Right Pectoral Fin,"Dorsal Fin
"
0,,0.007035123649984598,9.999999747378752e-05,,,,,,,,,,,,
0,0.001308585051447153,0.001309975516051054,9.999995381804183e-05,,,0.0019977085758000612,0.0015096624847501516,0.0015185970114544034,0.0020013905595988035,0.0010082731023430824,0.0005069586914032698,0.0005144918104633689,0.0010046819224953651,0.0010237371316179633,0.0020003505051136017
1,0.0013989683939144015,0.001296103815548122,9.999995381804183e-05,391.8736267089844,78.60862731933594,0.0019813217222690582,0.0019978201016783714,0.0020053337793797255,0.0019784923642873764,0.00050768768414855,0.0005080379196442664,0.0005035209469497204,0.0015035448595881462,0.0014999633422121406,0.0015039616264402866
2,0.0015781099209561944,0.0012914930703118443,9.999995381804183e-05,380.3031921386719,77.40924835205078,0.0019207318546250463,0.0019868260715156794,0.001495447475463152,0.0018962037283927202,0.0014980504056438804,0.0005048065213486552,0.0009961869800463319,0.0015012212097644806,0.0019896444864571095,0.0019919804763048887
3,0.0011798386694863439,0.0012901247246190906,9.999995381804183e-05,385.5991516113281,77.4923324584961,0.0018953820690512657,0.0010101930238306522,0.0010079111671075225,0.0018777217483147979,0.0010013522114604712,0.0005065090372227132,0.0010083378292620182,0.0010007877135649323,0.001497866353020072,0.0009923243196681142
4,0.0009916676208376884,0.001295596593990922,9.999995381804183e-05,382.128173828125,77.58175659179688,0.00196294067427516,0.0019934328738600016,0.0009991100523620844,0.0016393580008298159,0.0004976692143827677,9.059118610821315e-07,1.924573780343053e-06,0.0010065942769870162,0.0010057014878839254,0.0008090384071692824
5,0.0015115380520001054,0.00127749505918473,9.999995381804183e-05,385.03057861328125,77.60843658447266,0.0018576005240902305,0.0014696300495415926,0.000501589966006577,0.0018373673083260655,0.0019525040406733751,0.0011490706820040941,0.0019424110651016235,0.000509569828864187,0.001961787696927786,0.0019338493002578616
6,0.001215874683111906,0.0012545286444947124,9.999995381804183e-05,386.1065368652344,77.91966247558594,0.0019616305362433195,0.0014386845286935568,0.0014619715511798859,0.001504130195826292,0.00047796365106478333,0.0004880406195297837,0.0009956733556464314,0.0010025770170614123,0.0019053621217608452,0.0009227131959050894
7,0.0007902945508249104,0.001233140006661415,9.999995381804183e-05,383.11737060546875,77.62615966796875,0.0019651781767606735,0.0011960957199335098,0.00039987865602597594,0.0014871403109282255,3.048055077670142e-05,8.835255357553251e-06,9.694724212749861e-06,1.9630020688055083e-05,0.0018009374616667628,0.0009850746719166636
8,0.0016370672965422273,0.0011909391032531857,9.999995381804183e-05,382.7205505371094,77.56456756591797,0.002050312701612711,0.0019681493286043406,0.001415617298334837,0.00195706938393414,0.0013501574285328388,0.001417180523276329,0.0014479218516498804,0.0009485989576205611,0.0019332933006808162,0.0018823716090992093
