epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/Head,train/confmaps/Upper Snout,train/confmaps/Lower Snout,train/confmaps/Anterior Body,train/confmaps/Posterior Body,train/confmaps/Left Caudal Fin,train/confmaps/Right Caudal Fin,train/confmaps/Left Pectoral Fin,train/confmaps/Right Pectoral Fin,"train/confmaps/Dorsal Fin
"
0,,0.0008433563634753227,,,,,,,,,,,,,
0,,0.0007811253890395164,,,,,,,,,,,,,
1,0.0010517790215089917,0.0008142184233292937,4.999999873689376e-05,58.10807800292969,12.316344261169434,0.001664182054810226,0.0011023691622540355,0.0007030947599560022,0.0015976832946762443,0.0007899170159362257,0.0006419953424483538,0.0006262712413445115,0.00102054956369102,0.0011967469472438097,0.0011749791447073221
2,0.0010108547285199165,0.0008078478858806193,4.999999873689376e-05,55.36294937133789,10.830939292907715,0.0016567945713177323,0.0010355047415941954,0.0007144978735595942,0.0015214881859719753,0.0007262298604473472,0.0005981494905427098,0.0006041016313247383,0.0009735120111145079,0.0011819304199889302,0.001096337684430182
3,0.0010041422210633755,0.0008190132211893797,4.999999873689376e-05,55.27357864379883,10.824437141418457,0.0016167662106454372,0.0010735170217230916,0.000702621997334063,0.0015476207481697202,0.0007545608095824718,0.0006159530021250248,0.0006239954964257777,0.0009344732970930636,0.001090868841856718,0.0010810435051098466
4,0.0010027785319834948,0.0008203319739550352,4.999999873689376e-05,55.637840270996094,10.871736526489258,0.001625720295123756,0.0010309144854545593,0.000630972848739475,0.0015210957499220967,0.0007565448177047074,0.0006317946827039123,0.0006052589742466807,0.0009830447379499674,0.0011477121151983738,0.001090472680516541
5,0.000996684073470533,0.0008211598033085465,4.999999873689376e-05,55.057281494140625,10.891220092773438,0.0016076560132205486,0.0010138248326256871,0.0006508799851872027,0.001553506008349359,0.0007113980245776474,0.000627240864560008,0.0006323221605271101,0.0009450649959035218,0.0011702305637300014,0.0010547172278165817
6,0.0009934870759025216,0.0008497988455928862,4.999999873689376e-05,55.15708923339844,10.953091621398926,0.001588577521033585,0.0010239571565762162,0.0006843996816314757,0.0015091103268787265,0.0007617631345055997,0.0006089625530876219,0.0005706973606720567,0.0009649419807828963,0.0011311089619994164,0.0010913512669503689
7,0.0009950289968401194,0.0008067066082730889,4.999999873689376e-05,55.25575256347656,10.84794807434082,0.0015772730112075806,0.0009692888124845922,0.0006320392130874097,0.0015339949168264866,0.0007609265157952905,0.0006229884456843138,0.0006105754873715341,0.000990192056633532,0.0011422864627093077,0.001110723940655589
8,0.0009384839795529842,0.000813549617305398,2.499999936844688e-05,55.14854049682617,10.879571914672852,0.0015844121808186173,0.0009566720109432936,0.000625553831923753,0.0014875683700665832,0.0006822108407504857,0.0005407596472650766,0.0005520182312466204,0.0008900460670702159,0.0010515401372686028,0.0010136462515220046
9,0.0009679142385721207,0.0008041842374950647,2.499999936844688e-05,55.115089416503906,10.856796264648438,0.001562920631840825,0.0009666606783866882,0.0006409981870092452,0.0015064950566738844,0.0007392146508209407,0.0005936926463618875,0.0005849527660757303,0.0009573230636306107,0.0010934178717434406,0.001033466774970293
10,0.0009707633871585131,0.0007985826814547181,2.499999936844688e-05,55.77418518066406,11.002640724182129,0.001549526583403349,0.0009467680938541889,0.0006084435735829175,0.0014898651279509068,0.0007462814683094621,0.000642373925074935,0.0006249775178730488,0.0009137282613664865,0.0011167440097779036,0.0010689249029383063
11,0.0009641480864956975,0.0008020130335353315,2.499999936844688e-05,55.38669967651367,10.898212432861328,0.0015408414183184505,0.0009652562439441681,0.0006148300599306822,0.0014948697062209249,0.0007305616163648665,0.0006224918179214001,0.0005914488574489951,0.0009285049163736403,0.001114463317207992,0.001038212445564568
12,0.0009781112894415855,0.0008023172267712653,2.499999936844688e-05,55.76869583129883,10.954315185546875,0.0015494354302063584,0.001016885507851839,0.000666853622533381,0.001541976584121585,0.0007075148168951273,0.0005794657627120614,0.0005988918128423393,0.0009709151345305145,0.0010687950998544693,0.0010886779054999352
13,0.0009562385967001319,0.0008031485485844314,2.499999936844688e-05,55.31575012207031,10.924487113952637,0.0015398248797282577,0.0009419702691957355,0.0005985855823382735,0.001502061728388071,0.0007100530783645809,0.0006071798852644861,0.0005772061413154006,0.0009440010762773454,0.001072823884896934,0.0010686792666092515
14,0.0009575258591212332,0.0008142782025970519,2.499999936844688e-05,55.715030670166016,11.01504135131836,0.0015221505891531706,0.0009244023240171373,0.0005931262276135385,0.001480588922277093,0.0007586032734252512,0.0006369348848238587,0.0006286363350227475,0.0009221818763762712,0.0010805466445162892,0.001028086873702705
15,0.0009512205724604428,0.0008057380327954888,2.499999936844688e-05,55.88132095336914,11.095540046691895,0.0015297338832169771,0.0009477083222009242,0.0006087054498493671,0.0015040902653709054,0.0006972615956328809,0.0005894085625186563,0.0005751510034315288,0.0009661287185736,0.001066931989043951,0.0010270866332575679
