epoch,train_loss,val_loss,learning_rate,train_time,val_time
0,,0.00574900396168232,9.999999747378752e-05,,
0,0.00034415791742503643,0.0002863863483071327,9.999999747378752e-05,,
1,0.0003032537642866373,0.00028291012858971953,9.999999747378752e-05,497.00689697265625,45.519554138183594
2,0.0003024785255547613,0.00028229746385477483,9.999999747378752e-05,487.275634765625,44.639488220214844
3,0.00022750828065909445,0.0002818488283082843,9.999999747378752e-05,479.79766845703125,44.4495964050293
4,0.00015175339649431407,0.0002814145409502089,9.999999747378752e-05,487.66064453125,45.11664581298828
5,0.0003369679907336831,0.00028072233544662595,9.999999747378752e-05,488.0261535644531,46.4251823425293
6,0.0002592455712147057,0.00027301060617901385,9.999999747378752e-05,489.613037109375,45.81477355957031
7,0.00024113002291414887,0.0002453732886351645,9.999999747378752e-05,491.38067626953125,46.964752197265625
8,0.00018903751333709806,0.0002251126861665398,9.999999747378752e-05,487.9725646972656,45.22981643676758
9,0.00021906204347033054,0.0002078729885397479,9.999999747378752e-05,489.5043029785156,46.75407028198242
10,0.0001801640901248902,0.00020006105478387326,9.999999747378752e-05,490.39154052734375,45.16061782836914
11,0.00016749516362324357,0.0001956704509211704,9.999999747378752e-05,489.747314453125,45.32174301147461
12,0.00029564459691755474,0.00019615718338172883,9.999999747378752e-05,490.5124816894531,45.58678436279297
13,0.0002257020096294582,0.00020447475253604352,9.999999747378752e-05,486.93890380859375,45.40889358520508
14,0.00019799097208306193,0.00017548077448736876,9.999999747378752e-05,486.5979309082031,45.1300163269043
15,0.0002296177699463442,0.00017718216986395419,9.999999747378752e-05,495.6590270996094,46.65376281738281
16,0.00015125884965527803,0.0001698721171123907,9.999999747378752e-05,493.68896484375,46.99893569946289
17,0.0002285971713718027,0.00017626960470806807,9.999999747378752e-05,487.21990966796875,44.84334945678711
18,0.00017192112863995135,0.00016442702326457947,9.999999747378752e-05,489.6128845214844,45.565101623535156
19,0.00016941620560828596,0.00016902880452107638,9.999999747378752e-05,490.18292236328125,44.92799758911133
20,0.00020536377269309014,0.0001635904045542702,9.999999747378752e-05,488.22601318359375,46.337520599365234
21,0.0001943491370184347,0.00016244621656369418,9.999999747378752e-05,489.129150390625,45.54487609863281
22,0.00015684243408031762,0.00016181556566152722,9.999999747378752e-05,490.2364807128906,44.965675354003906
23,0.00013212047633714974,0.00016124169633258134,9.999999747378752e-05,490.5423889160156,45.20310974121094
24,0.00019322668958920985,0.00015751132741570473,9.999999747378752e-05,489.91363525390625,45.605777740478516
25,0.00017726683290675282,0.00017025119450408965,9.999999747378752e-05,488.79876708984375,45.18369674682617
26,0.00022770014766138047,0.00015957986761350185,9.999999747378752e-05,492.5727233886719,45.84144973754883
27,0.00019194770720787346,0.0001577576040290296,9.999999747378752e-05,489.66302490234375,45.83922576904297
28,6.3316423620563e-05,0.0001513965253252536,9.999999747378752e-05,484.3373718261719,44.78032684326172
29,0.0001362122711725533,0.00015346881991717964,9.999999747378752e-05,492.369384765625,44.64287567138672
30,0.0002079572732327506,0.00015703168173786253,9.999999747378752e-05,492.1149597167969,45.40625
31,0.00010194746573688462,0.000144656965858303,9.999999747378752e-05,489.16961669921875,44.76346206665039
32,0.00012989473179914057,0.00014395899779628962,9.999999747378752e-05,488.4185485839844,46.338104248046875
33,0.0001300248404731974,0.00014442417887039483,9.999999747378752e-05,494.96673583984375,46.68177795410156
34,0.00014905267744325101,0.00014218964497558773,9.999999747378752e-05,487.8981628417969,45.93090057373047
35,0.00023753693676553667,0.00014059462409932166,9.999999747378752e-05,492.5971984863281,45.420204162597656
36,0.00021183263743296266,0.00013584499538410455,9.999999747378752e-05,484.3173522949219,45.001102447509766
37,9.978862362913787e-05,0.00014372145233210176,9.999999747378752e-05,490.8195495605469,45.586822509765625
38,0.0001471690775360912,0.00014304151409305632,9.999999747378752e-05,487.72247314453125,44.90483856201172
39,0.00013138768554199487,0.00014407462731469423,9.999999747378752e-05,494.9431457519531,47.10460662841797
40,0.00018288397404830903,0.00013551951269619167,9.999999747378752e-05,490.09033203125,45.540794372558594
41,0.00012661286746151745,0.00014237951836548746,9.999999747378752e-05,491.9243469238281,45.434547424316406
42,0.0001378210145048797,0.00014208794164005667,9.999999747378752e-05,489.7846984863281,43.93780517578125
43,0.00016142889217007905,0.0001304947945754975,4.999999873689376e-05,487.0405578613281,45.2969856262207
44,0.00015483962488360703,0.00013140558439772576,4.999999873689376e-05,489.2354736328125,46.77995681762695
45,0.00019123483798466623,0.0001299689756706357,4.999999873689376e-05,493.0214538574219,46.607444763183594
46,0.00013767945347353816,0.00012730683374684304,4.999999873689376e-05,491.9287109375,46.214378356933594
47,0.0001195712320622988,0.00012866225733887404,4.999999873689376e-05,490.2786865234375,46.63943862915039
48,0.0002214971900684759,0.00013135335757397115,4.999999873689376e-05,490.89105224609375,46.292030334472656
49,9.689404396340251e-05,0.00012638694897759706,4.999999873689376e-05,494.0238342285156,47.38616943359375
50,0.00014597299741581082,0.00012616239837370813,4.999999873689376e-05,490.0980529785156,46.31209945678711
51,0.00010490936983842403,0.00012869514466729015,4.999999873689376e-05,489.1206970214844,47.433902740478516
